epoch,train_loss,val_loss,backbone_lr,head_lr
1,1.1129978075268723,1.082604634284973,1e-05,0.0001
2,1.0137708739510605,1.0206794471740723,1e-05,0.0001
3,0.9936561409561407,0.9600898262659708,1e-05,0.0001
4,0.960596501791761,0.9491728296279908,1e-05,0.0001
5,0.9454304800501891,0.9373102564811706,1e-05,0.0001
6,0.9074643661578496,0.8752677555084228,1e-05,0.0001
7,0.8569556200788134,0.8427655182679494,1e-05,0.0001
8,0.8264674036807957,0.8164233795801799,1e-05,0.0001
9,0.8055825609536398,0.7994989959398905,1e-05,0.0001
10,0.7903543321504479,0.7918478878339131,1e-05,0.0001
11,0.7718769521408138,0.7789076832135519,1e-05,0.0001
12,0.7517310921457552,0.7813206896781921,1e-05,0.0001
13,0.738819423158254,0.7774877754847208,1e-05,0.0001
14,0.7232559509220577,0.766182913382848,1e-05,0.0001
15,0.7100392010417722,0.7566075538794199,1e-05,0.0001
16,0.6877722584065937,0.759053298552831,1e-05,0.0001
17,0.6785508489147538,0.7594159778753916,1e-05,0.0001
18,0.6697538561409428,0.7544530560175577,1e-05,0.0001
19,0.6682456393593124,0.746214699268341,1e-05,0.0001
20,0.6578552435728766,0.7386282498836517,1e-05,0.0001
21,0.6514118221898874,0.7494850078423818,1e-05,0.0001
22,0.6334917148841279,0.7485957719484965,1e-05,0.0001
23,0.6335264791690168,0.7531623451709747,1e-05,0.0001
24,0.6194994054734707,0.7379143177668254,1e-05,0.0001
25,0.6230332961749463,0.7477698255379994,1e-05,0.0001
26,0.6198105658803668,0.7315195111433664,1e-05,0.0001
27,0.6073217271428023,0.7540555092493693,1e-05,0.0001
28,0.5993332337942862,0.7395507531960805,1e-05,0.0001
29,0.5969309584902865,0.7441818494002025,1e-05,0.0001
30,0.5900502600219278,0.7420614471435547,5e-06,5e-05
31,0.5693655793155943,0.7355597900549571,5e-06,5e-05
32,0.5639473547804214,0.7454678276379904,5e-06,5e-05
33,0.563045365106137,0.7391305655638377,5e-06,5e-05
34,0.5605330119086873,0.7343321657180786,2.5e-06,2.5e-05
35,0.5430973612836429,0.7476097376346588,2.5e-06,2.5e-05
36,0.5433488782938747,0.7457030945618948,2.5e-06,2.5e-05
37,0.5393605131478537,0.742120602607727,2.5e-06,2.5e-05
38,0.5383076836842866,0.7405885232289632,1.25e-06,1.25e-05
39,0.5285028907426056,0.7449107817808787,1.25e-06,1.25e-05
40,0.5319964724459818,0.7407023986180623,1.25e-06,1.25e-05
