epoch,phase,train_total_loss,train_classification_loss,train_box_loss,val_map_50,val_map_50_95,val_precision,val_recall,backbone_lr,head_lr,epoch_seconds
1,1,10.192294479798887,6.138543570073559,4.053750906747755,0.008412017230387824,0.0020472680607321655,0.06046776953793497,0.1510016322896572,0.0,0.001,621.438811
2,1,8.462240947345663,4.672001749144187,3.7902391907575406,0.012578880309171174,0.003370735305454313,0.059171156854468256,0.21216797744472474,0.0,0.001,635.8579010000103
3,1,8.210019957689596,4.475018388771989,3.735001573171284,0.01422688661232546,0.003412487636990407,0.06074584089405939,0.21261314735123907,0.0,0.001,622.5252272000071
4,1,8.063438731575523,4.358327762448926,3.705110968701229,0.01528821948445734,0.003968034993183226,0.06877818020548451,0.22092298560617302,0.0,0.001,617.3034403999918
5,1,7.956525694143549,4.273938048640923,3.6825876401855306,0.014771404201093961,0.0037637456010433607,0.065045243714632,0.2118415195132809,0.0,0.001,617.1935530000192
6,1,7.883684063468205,4.210405028578855,3.6732790259566293,0.016180716477915854,0.0038453951159803873,0.068027086717652,0.22121976554384923,0.0,0.001,644.3617941999983
7,1,7.829187666699888,4.179270522069123,3.6499171487781004,0.014716289457474852,0.004063737849180423,0.06358391268721648,0.2233862590888856,0.0,0.001,828.849636400002
8,1,7.778462647328304,4.139268827055524,3.639193810063957,0.016494925777507746,0.004310950351600871,0.07118916244199834,0.22629470247811248,0.0,0.001,844.6625602000277
9,1,7.757468037260738,4.126545800150344,3.6309222337074516,0.017294499027226302,0.004508086157997934,0.06489973379175673,0.2308057575307909,0.0,0.001,855.8142141000135
10,1,7.733322177158733,4.105391860327265,3.627930323211983,0.01782013743525118,0.004715404047306262,0.0657959223681631,0.23905623979818963,0.0,0.001,788.4184401000093
11,2,7.497486408856381,4.0708451877206056,3.426641226027503,0.03034549957779104,0.008641896303240476,0.07964990567094234,0.2744027303754266,2e-05,0.001,672.3302286999824
12,2,7.1635185006896265,3.950553167727672,3.212965337215631,0.03349484103465409,0.01044364101272108,0.08343669250645995,0.2874907256269476,2e-05,0.001,612.6078223999939
13,2,7.073637793561946,3.9597858889056132,3.113851902599777,0.03704205818944543,0.01229950083205716,0.08223299621456778,0.29850126131473514,2e-05,0.001,866.2401762999943
14,2,6.921450475083441,3.888087536734105,3.0333629416114585,0.040798472367888736,0.01344741572893465,0.0930260187715338,0.3020922985606173,2e-05,0.001,831.6056505999877
15,2,6.803091293144339,3.824753751363306,2.9783375382352486,0.044676526740406126,0.015117305883690035,0.05931577079077996,0.302507790473364,2e-05,0.001,839.1646180999815
16,2,6.697871322223362,3.768235827825525,2.929635493121354,0.04824723846758146,0.016412061734333558,0.11313444833977179,0.30072711084730674,2e-05,0.001,709.3166187999886
17,2,6.649030917602802,3.752311785117563,2.896719130676889,0.04937210150533989,0.017657605189834825,0.10168718650250798,0.3176732452886185,2e-05,0.001,679.3858113999886
18,2,6.5565052538808795,3.699556640114974,2.856948613978652,0.053449208575915445,0.01810750366620103,0.11060699728616784,0.3132809022110105,2e-05,0.001,687.7554429000011
19,2,6.5041675919368815,3.6668237043519163,2.8373438908825452,0.0546800394030119,0.01943504420145892,0.09892944544707227,0.3107285947469951,2e-05,0.001,1018.4257899000077
20,2,6.4243169532937,3.6221742662626104,2.8021426900804647,0.05532350989863679,0.020508795264540337,0.12565355275563556,0.3045555720433299,2e-05,0.001,868.3211955999723
21,2,6.403213024139404,3.616589387352448,2.786623643878526,0.05782568984882705,0.02038912991974721,0.10341730824999766,0.32809022110105357,2e-05,0.001,725.32402
22,2,6.345872163630752,3.5788302445681164,2.767041913992163,0.05990769567236039,0.022402288079157184,0.10877408534207036,0.3310580204778157,2e-05,0.001,805.0855636000051
23,2,6.308598204640531,3.5640581535626423,2.744540056254735,0.06144364473569081,0.02274576089167933,0.10635058518041117,0.3379136370381362,2e-05,0.001,887.1853686000104
24,2,6.252172319467829,3.528184242577584,2.723988072741677,0.06177962378774568,0.02272319741938627,0.13445119321891902,0.32387594598605135,2e-05,0.001,785.2119423999975
25,2,6.244111870811639,3.5234742644711097,2.7206376098863148,0.062468950807977236,0.02382684391761161,0.10720835360604813,0.340050452589405,2e-05,0.001,894.5940647999814
26,2,6.185006444047137,3.48862096151378,2.6963854790584874,0.06584655607703888,0.02495158387390146,0.11245084683535743,0.3454221694613444,2e-05,0.001,874.9494450999773
27,2,6.168976201109061,3.485957601111535,2.68301859992661,0.06471624783036457,0.02455944267553476,0.1393860765074127,0.3284166790324974,2e-05,0.001,715.8610471999855
28,2,6.150014251133716,3.4672409110236635,2.682773344967778,0.06915105514088324,0.026425906416153964,0.11585396626729785,0.3406440124647574,2e-05,0.001,837.959930699988
29,2,6.110827758580287,3.4420057912443025,2.6688219722291673,0.06658296212619033,0.025268655806487704,0.12127504822541031,0.34144531829648317,2e-05,0.001,896.7146609000047
30,2,6.075188017260241,3.4238718264447585,2.6513161945740147,0.06600429026033915,0.02496843363104216,0.12239942667051738,0.33960528268289064,2e-05,0.001,804.2626606999838
