class_id,class_name,ground_truth,predictions,precision,recall,f1,ap_50,map_50_95
51,pineapple,234,262,0.08396946564885496,0.09401709401709402,0.08870967741935483,0.04757277378370873,0.01548651981428592
52,potato,532,859,0.1210710128055879,0.19548872180451127,0.14953271028037382,0.0810339032629345,0.03952228701583639
53,prune,0,2,0.0,0.0,0.0,,
54,pumpkin,55,229,0.039301310043668124,0.16363636363636364,0.06338028169014084,0.06743464108356532,0.023056156121543592
55,radish/daikon,88,41,0.14634146341463414,0.06818181818181818,0.09302325581395347,0.012757241012609572,0.002572602515757755
56,raspberry,209,255,0.24705882352941178,0.3014354066985646,0.27155172413793105,0.19314622289846797,0.076374288077819
57,strawberry,922,764,0.2107329842931937,0.17462039045553146,0.19098457888493475,0.109283940016449,0.04106279022165171
58,sweet potato,25,22,0.09090909090909091,0.08,0.0851063829787234,0.012874352450724947,0.0027725837599239796
59,tomato,1766,5886,0.11569826707441386,0.3856172140430351,0.17799268165185575,0.19521041293024818,0.08417921312808409
60,turnip,28,5,0.0,0.0,0.0,0.0,0.0
61,watermelon,91,93,0.11827956989247312,0.12087912087912088,0.11956521739130435,0.05435905084533916,0.014632994778688083
62,zucchini/courgette,47,121,0.04132231404958678,0.10638297872340426,0.059523809523809514,0.012922151765738374,0.00600672238694314
